User,Negative,Neutral,Positive
FrDaveNix,3,8,1
Bishop_Sheen,2,1,1
NovusOrdoWatch,13,89,16
jordanbpeterson,55,40,14
RobTriumphnt151,2,13,3
settlerslament,9,22,6
OnePeterFive,6,24,13
frfrankpavone,15,59,30
Church_Militant,14,71,24
PrayTheRosary7,27,78,9
FredSimonTLM,46,116,30
TaylorRMarshall,41,87,17
FiatLuxGenesis,57,133,23
rtf_media,14,37,3
Versadie,0,2,4
Michael_Voris,94,139,43
EricRSammons,24,38,27
mattfradd,10,24,6
Aquinas_Quotes,4,14,3
Bishopoftyler,2,7,20
kennedyhall,17,44,21
ArchCordileone,1,4,5
montiniski,22,70,19
GKCdaily,8,12,1
Northeastern,2,10,22
liturgyfilm,0,11,6
pontificatormax,43,42,8
CoffinMedia,1,12,8
ICKSP,0,8,10
BishopAthanas1,0,1,0
RadicalCath,3,1,0
ThomisticInst,0,24,5
GregorisFr,1,4,0
HolySouls3,0,7,4
TheNigerianTrad,10,16,8
MrCasey62,7,26,6
Bug_Hall,15,23,12
akheriaty,5,14,2
SSPXEN,0,12,2
TheFatimaCenter,0,3,2
chesterbelloc3,9,10,0
latinmassuk,0,13,1
TheKingDude,3,23,1
TradcastNOW,0,2,0
timotheeology,6,14,2
Trent_Horn,1,4,1
brumeade,2,6,3
BVMConsolatrix,20,33,2
IAltare,0,1,0
staidansheritag,0,5,2
blthaddeusmc,3,47,18
opeast,0,3,2
StBenedict21stC,1,5,0
Johnthemadmonk,0,9,1
PadrepioSaint,1,1,6
sistervpaul_,0,13,9
cathfamilynews,3,7,0
stlaurencecha,0,15,3
EMTVmemes,0,0,3
NoTrueScotist,5,35,0
TRAD_WAVE,0,1,0
meaningofcath,0,1,0
bballbrianna,5,10,1
remnantnews,1,1,2
Help_Desk269,0,1,0
